date,kind,base,tip,wife_along,trip_number,orders,completed_time,notes
2026-09-06,trip,62.75,0.00,N,,,,"Week of 8/31 total, no per-order breakdown"
2026-09-07,trip,25.77,0.00,N,8612,1,5:02 PM,
2026-09-07,trip,26.49,0.00,N,9875,1,6:36 PM,
2026-09-07,trip,45.51,0.00,N,3748,1,8:37 PM,
2026-09-08,trip,37.68,0.00,N,8596,1,8:08 PM,
2026-09-08,incentive,4.00,0.00,N,,,,Incentive
2026-09-09,trip,12.33,0.00,N,0185,1,9:49 AM,
2026-09-09,trip,10.00,0.00,N,9915,1,1:09 PM,
2026-09-09,trip,13.57,0.00,N,1118,1,1:48 PM,
2026-09-09,trip,28.79,0.00,N,9304,3,5:17 PM,
2026-09-09,trip,69.42,0.00,N,6458,1,9:16 PM,
2026-09-09,trip,18.95,0.00,N,5743,1,10:24 PM,
2026-09-10,trip,10.00,0.00,N,5797,1,10:48 AM,
2026-09-10,trip,41.59,0.00,N,6281,1,1:57 PM,
2026-09-10,trip,39.16,0.00,N,2399,1,8:42 PM,
2026-09-10,tip,0.00,8.85,N,,,,"Tip — order 200015425067806, delivered 9/9"
2026-09-10,tip,0.00,4.93,N,,,,"Tip — order 200015141977277, delivered 9/9"
2026-09-10,tip,0.00,2.00,N,,,,"Tip — order 200015144602007, delivered 9/9"
2026-09-10,tip,0.00,15.00,N,,,,"Tip — order 200015271696791, delivered 9/9"
2026-09-10,tip,0.00,5.00,N,,,,"Tip — order 200015159772077, delivered 9/9"
2026-09-11,trip,10.00,0.00,N,5534,1,10:06 AM,
2026-09-11,trip,27.07,0.00,N,7946,3,11:25 AM,
2026-09-11,trip,24.50,0.00,N,0435,2,1:25 PM,
2026-09-11,trip,21.00,0.00,N,3518,2,5:21 PM,
2026-09-11,trip,54.37,0.00,N,2926,1,7:42 PM,
2026-09-11,tip,0.00,6.44,N,,,,"Tip — order 200015179655152, delivered 9/10"
2026-09-12,trip,17.28,0.00,N,7081,1,1:16 PM,
2026-09-12,trip,21.57,0.00,N,9007,3,2:29 PM,"Cancelled at 2:29 PM, still paid"
2026-09-12,tip,0.00,2.82,N,,,,"Tip — order 200015159773449, delivered 9/11"
2026-09-12,tip,0.00,5.00,N,,,,"Tip — order 200015149322559, delivered 9/11"
2026-09-12,tip,0.00,5.10,N,,,,"Tip — order 200015405565265, delivered 9/11"
2026-09-12,trip,66.69,0.00,N,,,,"Rest of Saturday — awaiting per-trip detail"
2026-09-12,tip,0.00,2.00,N,,,,"Confirmed tip not yet matched to an order"
